date,mission,description
7-Sep-12,Sudan,"  In AUHIP discussions, Sudanese officials cited procedural errors as reason for their recent rejection of Tripartite-agreed plans intended to facilitate humanitarian access in Blue Nile and Southern Kordofan states (follow-up discussions with Tripartite partners are anticipated next Thursday).  "
7-Sep-12,UNAMID,"  A staff member was assaulted and threatened in EL FASHER yesterday following an accident with a local vehicle transporting LJM members. Patrol members were stopped at OMBOUKR (also in Northern Darfur) yesterday and informed of the SLA-AW’s control of the area (recently occupied by SAF). Regarding persistent inter-communal tensions elsewhere in the state, the Mission has confirmed efforts by local authorities to restrict armed Arab elements’ access to KUTUM. A curfew has been imposed and a reinforced SAF presence (including recent overflights undertaken by helicopter gunships) has been reported.  "
7-Sep-12,UNISFA,  Mission sources warn that increased commercial activity and the associated return of Ngok Dinka might lead to increased inter-communal tensions with the Misseriya population.  
7-Sep-12,Somalia," (UNSOA)  In anticipation of Monday’s planned presidential elections, local media reports cite NFP election officials announcing today that 25 candidates (of 33 who submitted nomination forms by the stated deadline) have met the necessary conditions and are due to address lawmakers today and tomorrow. (Among the reported candidates are incumbent President Sheikh Sharif Sheikh Ahmed, outgoing PM Abdiweli Mohamed Ali, ex-premier Mohamed Abdullahi Mohamed Farmajo and current MPs Ahmed Ismael Samatar and Hassan Sheikh Mohamoud.) Meanwhile, other local media reports refer to upwards of 320 people detained in a security operation yesterday in MOGADISHU; elsewhere in the capital, an AMISOM convoy was reportedly targeted in a roadside explosion today.  "
7-Sep-12,MONUSCO,"  The situation in eastern Congo is to be considered at the ICGLR mini-summit in KAMPALA today and tomorrow; Nigeria’s former President Obasanjo has reportedly been approached to act as a mediator in this crisis. In KINSHASA yesterday, opposition UDPS representatives made mention of the recent reported presence, in DRC, of Rwandan Special Forces in accusing President Kabila of being President Kagame’s “accomplice”. Meanwhile, there is word of young men being forcibly recruited and trained by armed elements in KIWANJA and RUTSHURU. Elsewhere in North Kivu, there is belated word of two civilians killed in KIBIRIZI this past Monday when they attempted to prevent four FARDC soldiers from raping a woman; military authorities are investigating. FARDC troops have recently arrested, at BENI and NUMBI, small numbers of persons suspected of collaborating with M23. FARDC troops undertook operations against Mayi-Mayi elements in locations west of SANGE (South Kivu) late last night, prompting locals to flee. In Province Orientale’s Ituri district, there is belated word of FARDC attacks against militia on Wednesday (the soldiers also reportedly looted local homes and shops).  "
7-Sep-12,UNOCI,"  Judicial authorities in Ghana have postponed, until 13 September, the extradition hearing of former presidential spokesperson Justin Kone Katinan. The Mission is investigating the rumoured presence of armed militia near the border with Ghana; a local FRCI camp was visited yesterday. There is also belated word of UNOCI assisting in the search for survivors after an FRCI vessel capsized late on Wednesday.  "
7-Sep-12,Lebanon,"  Security sources in northern Lebanon have noted continued alleged overflights by Syrian military aircraft, most recently near WADI KHALED. "
7-Sep-12,UNSMIS," Liquidation)  There is media interest in the announced appointment yesterday of Mokhtar Lamani as head of JSR liaison offices in DAMASCUS. Other media reports referred yesterday to a French and British agreement to “accelerate” Syria’s transition to a new government. European foreign ministers are reportedly due to meet in Cyprus today to consider, inter alia, the manner of support to Syrian opposition elements (this initiative follows the reported rejection by a Turkish-based FSA commander of efforts to consolidate armed opposition activity under the proposed “Syrian National Army” rubric). Meanwhile, opposition sources allege that upwards of 130 people were killed yesterday; fighting is reported in and around DAMASCUS as well as in some ALEPPO neighbourhoods. Yesterday also saw Jordan’s PM warn of his country’s inability to provide for the growing refugee population there.  "
7-Sep-12,Syria," Liquidation)  There is media interest in the announced appointment yesterday of Mokhtar Lamani as head of JSR liaison offices in DAMASCUS. Other media reports referred yesterday to a French and British agreement to “accelerate” Syria’s transition to a new government. European foreign ministers are reportedly due to meet in Cyprus today to consider, inter alia, the manner of support to Syrian opposition elements (this initiative follows the reported rejection by a Turkish-based FSA commander of efforts to consolidate armed opposition activity under the proposed “Syrian National Army” rubric). Meanwhile, opposition sources allege that upwards of 130 people were killed yesterday; fighting is reported in and around DAMASCUS as well as in some ALEPPO neighbourhoods. Yesterday also saw Jordan’s PM warn of his country’s inability to provide for the growing refugee population there.  "
7-Sep-12,MINUSTAH,"  It was announced yesterday by Haiti’s minister of communication that the full text of the amended constitution, to include those amendments published in June by the president, has been submitted for consideration.  "
7-Sep-12,UNMIK,"  Lawmakers in Kosovo have reportedly voted to amend the constitution, thus allowing for Monday’s anticipated closure of the International Civilian Office. Meanwhile, temporary movement restrictions have been imposed in response to shots fired at a EULEX convoy in Mitrovica region.  "
6-Sep-12,UNMISS,"  The extraordinary session of the JPSM has been postponed to today, following GoS reluctance to accept the previously tabled AUHIP map. The parties are expected to meet today to comment on revised terms of reference and scope of work (including disputed areas) for Panel of Experts members. As follow-up to earlier mention, local media report that President Bashir agreed yesterday to resume direct flights between KHARTOUM and JUBA by mid-December. Meanwhile, there was media interest yesterday in reports that police in Northern Bahr el-Ghazal state have been forcing unemployed youth to work on police farms. Far to the east, UNMISS troops are closely monitoring the situation in LIKUANGOLE after heavy gunfire was heard in the vicinity of the SPLA camp there earlier today; local traders sought refuge in Mission premises after several mortar rounds subsequently landed close to the town’s marketplace.  "
6-Sep-12,UNAMID,"  The Mission is working to verify reports that, following unrest in KUTUM over the past few days, Sudanese police (including CRP) elements, as well as and judicial authorities, have been removed from the area, while SAF troops have been reinforced; media report that a night curfew is in place. UNAMID also informs that a total of 24 civilians received medical assistance within UNAMID premises in KUTUM, and that eight of them (seriously injured) were later flown to EL FASHER. Yesterday also saw UNAMID relocate eight civilian staff members to team site premises in KUTUM, and five INGO personnel to EL FASHER. Meanwhile, shops and some roads in NYALA were closed yesterday following a dispute between SAF troops and border guards.   "
6-Sep-12,UNISFA,  Yesterday saw AU officials suggest that the seventh AJOC meeting might not take place in Abyei on 09-10 September as initially planned since most key members are expected to be in ADDIS ABABA attending AU-led talks over that period.   
6-Sep-12,Somalia," (UNSOA)  According to Mission sources, preparations for the presidential elections on 10 September continue to be on track; the presidential candidate registration period ends today.   "
6-Sep-12,MINUSTAH,"  Yesterday saw President Martelly propose the establishment of a “CEP conjonctorel” that would allow three temporary MPs to join the six current members until the deadlock in the Senate is overcome. Separately, an Altenativ party Senate notable has suggested the creation of a “consensus” CEP, with a limited mandate.  "
6-Sep-12,UNOCI,"  President Ouattara met his Ghanaian counterpart yesterday in ABIDJAN in the context of an official visit to Côte d’Ivoire. The latter told media after the meeting “that the territory of Ghana will not be used as a platform to destabilize Côte d'Ivoire”. Yesterday also saw the military prosecutor in ABIDJAN announce that the trial of some 40 military personnel affiliated to former President Gbagbo (including the head of the Republican Guard, Gen. Dogbo Blé) would begin on 18 September. The Mission separately informs that eight FPI members were detained on 01 September and 31 August in ABIDJAN and DIVO on threat against state security and national defence charges. The Sous-préfet of GABIADJI (Bas-Sassandra region), detained in August, has since similarly been charged. Meanwhile, as of yesterday, the national institute of statistics had registered 4,046 ex-combatants in BOUAKÉ, 83 in KATIOLA, and 366 in KORHOGO.   "
6-Sep-12,UNMIL,  Cabinet and immigration bureau seniors are expected to appear before the Senate plenary session today to discuss the reopening of the border with Côte d’Ivoire.  
6-Sep-12,MONUSCO,  Information Minister Mende was cited yesterday saying that an opposition MP suspected of “high treason” (Roger Lumbala) took refuge at the South African embassy in Burundi this past Monday. Yesterday also saw a group of 30 youths gather in front of MONUSCO premises in GOMA to protest against the deployment of a “neutral force” in eastern DRC. The Mission separately reports that FLDR combatants have reoccupied positions in the KISHEGURU area after the M23’s withdrawal towards NGWENDA this past Tuesday; the latter are now reportedly in control of the KIWANJA-NGWENDA axis. MONUSCO is ascertaining details on a new armed group (Force Organisée pour la Défense du Peuple) ostensibly consisting of some 100 former PARECO and CNDP affiliates.   
6-Sep-12,UNSMIS," Liquidation)  Addressing Arab League country representatives in CAIRO yesterday, the Egyptian president reiterated that the time had come to change the Syrian government, and that his proposed four-nation contact group on Syria would meet shortly. Separately, media referred to the intent of a group of FSA commanders to rename the loosely-knit organisation as the “Syrian National Army”, in efforts to overcome divisions and address the growing number of anti-government militias. Media quoted diplomatic sources yesterday saying that the government of France has started helping rebel-held “liberated zones”.  "
6-Sep-12,Syria," Liquidation)  Addressing Arab League country representatives in CAIRO yesterday, the Egyptian president reiterated that the time had come to change the Syrian government, and that his proposed four-nation contact group on Syria would meet shortly. Separately, media referred to the intent of a group of FSA commanders to rename the loosely-knit organisation as the “Syrian National Army”, in efforts to overcome divisions and address the growing number of anti-government militias. Media quoted diplomatic sources yesterday saying that the government of France has started helping rebel-held “liberated zones”.  "
6-Sep-12,UNDOF,"  Firing continued to be heard within the AoS over the past 24 hours, mostly around JABATTA. Separately, the Mission reports that OGG personnel experienced a restriction of movement at a SAAF checkpoint near NAWA, inside the AoL, yesterday.   "
6-Sep-12,UNAMA,"  Media sources report that representatives from Pakistan, Afghanistan and the US met yesterday in ISLAMABAD to discuss ways to ensure safe passage for Taliban leaders in that country. UNAMA reports that ISAF handed over security responsibilities for six districts in Baghlan province to Afghan counterparts yesterday.   "
5-Sep-12,UNAMID,"  The Mission is closely monitoring the situation in and around KUTUM after suspected Arab militia yesterday attacked the vehicle of a local official, injuring six of its passengers; two Sudanese police officers and four of the attackers were reportedly killed in the ensuing firefight. Earlier today, GoS security personnel prevented a group of armed Arab elements from entering KUTUM, who then targeted civilians at a location approximately one kilometre from UNAMID premises, reportedly killing one person and injuring four others. Meanwhile, UNAMID reported that one peacekeeper was killed and another five were injured when an armoured personnel carrier overturned outside NYALA. As anticipated, local UNAMID staff members in EL FASHER are staging a sit-down today to demand payment in US dollars; strike action is planned for the 10-11 September if demands are not met. There is also belated word that a local Mission staff was detained and allegedly beaten by Sudanese intelligence (NISS) personnel when he accidentally hit a NISS vehicle this past Monday near EL FASHER; he has since been released.  "
5-Sep-12,UNMISS,"  The AUHIP is expected to convene an extraordinary session of the JPSM today to finalize aspects related to the establishment of the Safe Demilitarized Border Zone (SDBZ) and the Joint Border Verification and Monitoring Mechanism (JBVMM). The presidential summit is anticipated to take place on 16 September. Meanwhile, negotiations on oil, pensions and trade are ongoing. Separately, UNMISS was informed this past Monday that the South Sudanese government plans to cut SSPNS salaries (unpaid since July) by at least 15 per cent. In Upper Nile state, the Mission found out yesterday that civil servants’ salaries for July have been received; August salaries are expected to be disbursed by the end of the week. Like in other states, civil servant salaries will remain unchanged, with the exception of constitutional post holders (whose allowances have been reduced by almost a third). In Unity state, the disbursement of July salaries has been authorized. In Jonglei state’s Pibor county, the situation is reported to be calm.   "
5-Sep-12,Sudan,  Proximity talks between the GoS and SPLM-N are scheduled to commence on 13 September.   
5-Sep-12,UNSMIS," liquidation)  JSR Brahimi is expected to travel to Syria in the next few days for meetings with Syrian officials. Yesterday saw the head of the SNC coalition call for a massive aid (Marshall Plan-like) programme to help rebuild Syria after President al-Assad's regime falls, warning that economic stagnation could open the door to extremism. Separately, a British senior official was cited yesterday saying that “limited contacts” between his government and FSA representatives had been authorized. Media sources report continued government shelling and bombardments in DAMASCUS, HOMS, and ALEPPO.  "
5-Sep-12,Syria," liquidation)  JSR Brahimi is expected to travel to Syria in the next few days for meetings with Syrian officials. Yesterday saw the head of the SNC coalition call for a massive aid (Marshall Plan-like) programme to help rebuild Syria after President al-Assad's regime falls, warning that economic stagnation could open the door to extremism. Separately, a British senior official was cited yesterday saying that “limited contacts” between his government and FSA representatives had been authorized. Media sources report continued government shelling and bombardments in DAMASCUS, HOMS, and ALEPPO.  "
5-Sep-12,UNDOF,"  The Mission continues to report multiple instances of unauthorized military equipment and personnel within the AoS, mostly on the B-side; firing was heard in a number of locations within the AoS over the past 24 hours. Separately, the Mission reports that OGG personnel experienced a restriction of movement at a SAAF checkpoint in KAFR MASIJ (within the AoL) yesterday.  "
5-Sep-12,MONUSCO,"  A group of some 30 opposition political parties (including the UNC and UDPS/FAC) issued a statement this past Monday calling for President Kabila’s impeachment over complicity with Rwanda, rejecting the establishment of an international “neutral force” and requesting that MONUSCO’s mandate be modified instead. Meanwhile, Tanzanian President (and SADC troika chair) Kikwete told media yesterday that SADC members would be ready to deploy troops to eastern DRC as part of a “neutral force”, should the ICGLR request it. In a related development, officials were cited yesterday announcing the British government’s intent to partially restore its budget support to Rwanda for “constructively” engaging in efforts to resolve the crisis in eastern DRC, where the situation remains fluid. The Mission has confirmed reports that M23 mutineers have occupied several positions left vacant by Rwandan troops in the KISHEGURU area since Monday. There are also persistent reports of forcible recruitment by the M23, most recently in the BUTIMBO and UVIRA areas. There are also reports that Mayi-Mayi (Yakutumba) leaders in South Kivu refused a recent M23 offer to join the movement.  "
5-Sep-12,UNOCI,"  Yesterday saw DTRC Chairperson Charles Konan Banny lead the launch of reconciliation efforts in ABIDJAN involving a range of socio-political stakeholders. Authorities in Ghana told media earlier today that court proceedings to determine whether former presidential spokesperson Justin Kone Katinan should be extradited to Côte d’Ivoire should begin tomorrow. In LAKOTA (Sud-Bandama region), the FRCI has reportedly requested Dozo elements to assist with security provision, following persistent rumours of attacks.   "
5-Sep-12,Somalia," (UNSOA)  Media reported that hundreds of residents have fled KISMAYO over the past few days, in anticipation of an offensive by TFG-allied forces. Yesterday saw TFG-allied troops seize ELMA’AN, outside MOGADISHU.  "
5-Sep-12,MINUSTAH,"  President Martelly continues to meet with members of the Senate as part of continuing efforts to reach a compromise on the formation of the CEP, most recently yesterday. In a meeting with leaders of the opposition party Fusion des Sociaux Démocrates (FSD) that same day, the SRSG stated that the only way to move forward is to establish a CEP in accordance with the amended constitution; FSD leaders expressed their willingness to find a negotiated solution to the current stalemate.  "
5-Sep-12,UNAMA,  Media cited officials in President Karzai’s office yesterday announcing that the US government will hand over control of the detention centre at the Bagram air base to Afghan authorities on 10 September. UNAMA reports that at least 25 people were killed in a suicide bomb attack in eastern Nangarhar province that targeted the district administrator and the local police chief (both survived).   
5-Sep-12,UNMOGIP,"  As anticipated, the Mission intends to resume operations in GILGIT today. Local media reported that Pakistani troops opened fire on an Indian post along the LoC in Poonch district yesterday.     "
4-Sep-12,UNMISS,"   AU-led talks reportedly resumed yesterday in ADDIS ABABA. Local media reported that senior GoS and GRSS officials gathered last Thursday in JUBA agreed to resume direct flights between the two countries. Meanwhile, UNMISS informed that all flights to MAYOM, ABIEMNOM and areas west of RUBKONA (all in Unity state) were suspended between Friday and Monday, after SPLA officials threatened to target any aircraft flying over those locations (allegedly, suspected white-painted SAF helicopters had been sighted in that general area). The governor of Warrap state claimed yesterday that a number of white-painted helicopters carrying unidentified armed elements had landed in Gogrial east county over the weekend and engaged SPLA troops; fighting is reportedly ongoing in the MAYENJUR area. The governor also alleged similar landings in Twic county over the same period. Far to the east, inclement weather forced the Mission to cancel long distance patrols and flights to LIKUANGOLE this past Friday. On Saturday, Mission staff found a bullet mark in an UNMISS helicopter that had flown over central Ayod county the day before; an investigation is ongoing. Separately, a high-ranking SPLA official told media mid-last week that more than 30 soldiers had been dismissed over misconduct during civilian disarmament efforts in Jonglei state; the Mission confirms ten individuals are detained in Ayod county on related charges.   "
4-Sep-12,UNISFA,"   UNISFA informs that the 7th AJOC meeting is anticipated to take place on 10 September, and that the final session of the Joint Political and Security Mechanism (JPSM) is scheduled to open in ADDIS ABABA this coming Wednesday, to discuss the activation of the JBVMM, inter alia.   "
4-Sep-12,UNAMID,"   UNAMID reports that its operations in and around EL FASHER have been negatively impacted by last Friday’s collapse of the bridge linking the Mission’s Super Camp to the city. Elsewhere in Northern Darfur, five uniformed peacekeepers were injured (two seriously) during a sand storm that destroyed temporary camp premises in KUTUM on Sunday. Yesterday saw one UNAMID staff member and five SAF personnel injured (one later died of his injuries) in a road traffic accident along the EL FASHER-ZAM ZAM road. Separately, Sudanese intelligence (NISS) officials told Mission colleagues this past Sunday that a local staff member detained on 28 August is being investigated for his alleged involvement in local politics, including support to the SLA-AW. Mission senior managers are scheduled to meet with local staff representatives later today in a bid to prevent tomorrow’s planned strike action.   "
4-Sep-12,MONUSCO,"  Yesterday saw the CENI announce that gubernatorial elections in the provinces of Bas-Congo and Orientale have been postponed from 11 to 28 October, thus allowing the registration period to be extended until 17 September; final election results are scheduled to be published on 13 November. Separately, there was media interest on Friday in Rwanda’s stated intent to repatriate two companies of its special forces from Rutshuru territory. The following day, the Congolese teachers’ union called on the government to suspend its diplomatic relations with Rwanda, and religious leaders reissued last week’s statement condemning Rwandan support to the M23. Mission sources also report that M23 mutineers took over FDLR positions in KISHEGURU yesterday, later advancing towards KATWEGURU, forcing some 100 civilians to flee the area. This past Friday saw a MONUSCO DDR/RR convoy escorted by FARDC troops temporarily halted in RUGARI by M23 elements. Meanwhile, the Mission received reports that (Mayi-Mayi notable) ‘Gen.’ Lafontaine is among the leaders of the Forces Acquises au Changement (FAC) umbrella group, and that the group now intends to conquer North Kivu’s ‘Grand Nord’, allegedly with munitions supplied by the M23. This past Sunday saw seven peacekeepers sustain minor injuries in a road traffic accident in GOMA. To the west, the Mission belatedly reported that Angolan border police opened fire on a group of 159 Congolese that crossed the border to Angola on the night of 21 to 22 August; there are reports that some were killed and others were injured. In Orientale province, 25 cases of Ebola had been reported as of 29 August.  "
4-Sep-12,UNOCI,"  This past Friday saw FPI party’s secretary-general, Laurent Akoun sentenced to six months in prison on “disturbance of public order” charges; he has also been ordered to refrain to appear in public for a year. That day also saw judicial authorities postpone the hearing of former presidential spokesperson Justin Kone Katinan to tomorrow, amidst protests by supporters in front of Ghanaian diplomatic and tribunal premises in ABIDJAN; Ghanaian officials are considering whether or not to lift his political refugee status and extradite him to Côte d’Ivoire. Meanwhile, President Ouattara inaugurated the newly rehabilitated University of Cocody in ABIDJAN yesterday, the first university to open since the end of the post-electoral crisis. To the west, Mission sources reported that 29 inmates escaped from the DALOA prison (Haut Sassandra region) this past Sunday; a joint UNOCI-FRCI patrol was deployed and 26 escapees have since been captured. Mission sources continue to report instances of FRCI misconduct, most recently in disparate locations in the Sud-Bandama region on Saturday. UNOCI separately reported three road traffic accidents involving UN vehicles over the long weekend.  "
4-Sep-12,BNUB,"  Media cited FNL notables yesterday calling on the Burundian president to step down and announcing their intent “to fight the government militarily”, claiming hundreds of its members have been killed by security forces since elections in 2010.  "
4-Sep-12,West Africa,  This past Saturday saw Movement for Unity and Jihad in West Africa (MUJAO) rebels seize DOUENTZA (some 400 km south-east of GAO).  
4-Sep-12,Central Africa,"   There are persistent media reports of LRA activity involving the abduction of civilians in the CAR, most recently this past Saturday.   "
4-Sep-12,UNSMIS," liquidation)  A two-day ministerial-level Arab League meeting is anticipated to open in CAIRO tomorrow. There is also media interest in today’s meeting between the head of the ICRC and the Syrian president to discuss better access for aid workers in the country. Other media mention continued widespread violence countrywide, with rebel sources claiming military advances in Aleppo and Deir Ez-Zor governorates over the past few days. Reports on Sunday referred to government army bulldozers destroying (Sunni Muslim) residences in western DAMASCUS. Local media that same day alleged that Syrian aircraft had violated Iraqi airspace in attempts to respond following an alleged FSA attack on a Syrian military post on the border. Other media mentioned brief clashes between Syrian and Jordanian government forces on Friday, after the latter reportedly tried to assist refugees crossing the border; no injuries were reported.   "
4-Sep-12,Syria," liquidation)  A two-day ministerial-level Arab League meeting is anticipated to open in CAIRO tomorrow. There is also media interest in today’s meeting between the head of the ICRC and the Syrian president to discuss better access for aid workers in the country. Other media mention continued widespread violence countrywide, with rebel sources claiming military advances in Aleppo and Deir Ez-Zor governorates over the past few days. Reports on Sunday referred to government army bulldozers destroying (Sunni Muslim) residences in western DAMASCUS. Local media that same day alleged that Syrian aircraft had violated Iraqi airspace in attempts to respond following an alleged FSA attack on a Syrian military post on the border. Other media mentioned brief clashes between Syrian and Jordanian government forces on Friday, after the latter reportedly tried to assist refugees crossing the border; no injuries were reported.   "
4-Sep-12,UNDOF,"  An UNDOF patrol was stone-pelted by some 40 civilians within the AoS this past Friday; the UN vehicle suffered minor damage. The Mission also continues to report multiple instances of unauthorized military equipment and personnel within the AoS, mostly on the B side; firing continued to be heard within the AoS over the reporting period, mostly around JABATTA.   "
4-Sep-12,Lebanon,"  Media sources claimed that Syrian troops fired some 25 shells towards the border village of MINJEZ (Akkar region) last Friday, injuring one Lebanese security staff. There are also unconfirmed reports that Syrian troops entered Lebanese territory over the weekend and kidnapped two Lebanese nationals outside the border town of MASHAREE AL-QAA.  "
4-Sep-12,UNIFIL,"  Mission sources reported an instance of unfriendly behaviour by IDF troops in the occupied area of northern GHAJAR on Friday; an investigation is ongoing. On Sunday, three peacekeepers were slightly injured in a road traffic accident involving a UN vehicle in TAYR FALSAY (Sector West).  "
4-Sep-12,Somalia," (UNSOA)   Somali lawmakers announced on Sunday that the presidential elections would tentatively take place on 10 September.  According to local media, requisites for candidacy will soon be tabled to the parliament. Meanwhile, this past Saturday reportedly saw war vessels of unidentified affiliation target port premises and al-Shabaab bases in KISMAYO; according to media sources, insurgents have since prevented residents from fleeing the city. Other media referred to TFG-allied forces capturing the strategic town of MIIDO on Friday.   "
4-Sep-12,MINUSTAH,  President Martelly met last Friday with a delegation of 14 Senators in ongoing efforts to find a compromise to fill the three vacant positions in the CEP.   
4-Sep-12,UNAMA,"  A NATO spokesperson confirmed on Sunday that the organization has suspended training programmes for Afghan security personnel until stricter background checks can be established. That same day saw HRW advocates call upon the Afghan government to reconsider the nomination of Asadullah Khalid as the country’s national intelligence chief, citing his involvement in rights abuses and corruption during his tenure as governor of Kandahar province. UNAMA reported that up to ten civilians and four Afghan security personnel were killed, and another 55 people (including two ISAF soldiers and 11 ANP officers) were injured, in twin suicide bombing that targeted ANP and ISAF premises in Wardak province on Saturday.   "
4-Sep-12,UNMOGIP,  Local media cited the chairman of the Hurriyat Conference calling for a state-wide strike today.   
4-Sep-12,UNMIK,"  This past Friday saw Assembly of Kosovo (AoK) members adopt and amend legislation providing the legal framework for the anticipated end of Kosovo’s supervised independence this coming fall. In a statement on Sunday, the Serbian government announced the adoption of measures that would allow its officials to attend regional meetings in which Kosovo is represented.     "
31-Aug-12,UNMISS,"  The Mission cites GRSS officials anticipating a final agreement with Sudan on oil transit before 22 September. Separately, South Sudanese officials told UNMISS yesterday that July salaries for civil servants in Jonglei state would be paid that same day, while August salaries would be paid by 07 September; in Northern Bahr el-Ghazal, unpaid July salaries are to be disbursed shortly. The Mission has also been informed that the proposed halving of remunerations will not affect civil servants at the state level.  Meanwhile, the situation in Jonglei state remains volatile; David Yau Yau-affiliated militia reportedly attacked SPLA positions in LIKUANGOLE yesterday; there are no injuries reported. In Upper Nile state, there are yet to be verified reports of militia recruitment and training activity in the AMRA area, close to the disputed border area.   "
31-Aug-12,UNAMID,"  The Mission reported yesterday that some 80 percent of those displaced following unrest in the KASSAB IDP camp in Northern Darfur early this month have since returned to the camp, and that UN agencies and NGOs have resumed their activities in the camp. Separately, the Mission reports that Sudanese intelligence (NISS) personnel detained one local staff member this past Tuesday in NYALA; efforts to secure his release are ongoing. The following day, a group of locals broke into the UNAMID Super Camp and stole some electric equipment.   "
31-Aug-12,Somalia," (UNSOA)  The newly elected speaker of the New Federal Parliament (NFP) convened a meeting with presidential election committee members yesterday in MOGADISHU in preparation of the latter’s anticipated work on the development of the electoral calendar and guidelines. UNPOS colleagues have expressed reservations about the feasibility of holding the presidential elections on 05 September, as reported today in local media, given inter alia the short timeframe available for candidate registration. Meanwhile, eight additional MPs have been cleared by the Technical Selection Committee (TSC).   "
31-Aug-12,UNOCI,"  FPI President Sylvain Miaka Oureto called on the Ivorian government to launch a national political dialogue during a press conference held in ABIDJAN yesterday, stressing the party’s availability for a direct debate. Yesterday also saw Dialogue, Truth and Reconciliation members in SAN PEDRO request logistical and technical support from UNOCI. Meanwhile, according to a statement by the military prosecutor in ABIDJAN that same day, 54 civilians have been detained in connection with recent attacks against FRCI positions; 19 FRCI elements have been detained for crimes committed during related operations (their trial is expected to begin on 06 September). Elsewhere in the Lagunes region, there is belated word that a group of heavily armed FRCI soldiers attacked three villages in the ALLEPÉ area this past Tuesday; UNPOL is supporting local police in its investigations. Separately, UNOCI informs that, as of yesterday, more than 2,100 ex-combatants had been registered in ongoing DDR census efforts in BOUAKÉ.   "
31-Aug-12,MONUSCO,"  SADC Chairperson Guebuza and President Kagame stressed that coordinated regional efforts, involving the ICGLR and the SADC, were key to address the conflict in eastern DRC at the closing of a meeting held this past Wednesday in KIGALI. Mission sources also report that provincial authorities inaugurated a two-day mediation meeting between the Bafuliro and the Barundi communities in UVIRA yesterday, with MONUSCO support. Far to the north, FARDC soldiers reportedly raped four women in ITURI (Orientale province) yesterday.  "
31-Aug-12,MINUSTAH,  Controversy over the composition of the CEP persists. The Mission reports that both chambers of parliament are expected to hold a special session today on the issue; some have MPs have said they will not be in attendance.  
31-Aug-12,UNDOF,"  UNDOF reports that three armed elements fired some ten shots in direction of UN position 37 yesterday; no peacekeepers were injured. The Mission further reports an instance of firing into the AoS (from Syrian territory towards an area south of JABBATA) yesterday. That same day, UN personnel were prevented from moving towards JABBATA by SAAF soldiers citing road closures.  "
31-Aug-12,UNSMIS," liquidation)  The Egyptian president told delegates at the NAM summit in TEHRAN yesterday that it is an ethical duty to stand in solidarity with the Syrian people against “an oppressive regime that has lost its legitimacy”. Other media cited the head of a military hospital in DAMASCUS saying that more than 8,000 SAAF personnel had been killed since the uprising began in March 2011.  "
31-Aug-12,Syria," liquidation)  The Egyptian president told delegates at the NAM summit in TEHRAN yesterday that it is an ethical duty to stand in solidarity with the Syrian people against “an oppressive regime that has lost its legitimacy”. Other media cited the head of a military hospital in DAMASCUS saying that more than 8,000 SAAF personnel had been killed since the uprising began in March 2011.  "
31-Aug-12,UNMOGIP,  The Indian and Pakistani presidents met as anticipated on the margins of the NAM summit in THERAN yesterday to discuss bilateral concerns; media cited President Singh saying that a swift conclusion of the Mumbai terror attack trial in Pakistan would represent a major confidence-building step. Yesterday also saw the US government announce sanctions against eight suspected Lashkar-e-Taiba (LeT) leaders. UNMOGIP received a ceasefire violation complaint from Pakistani authorities alleging unprovoked cross-LoC fire by Indian troops in Kupwara district yesterday.   
31-Aug-12,UNFICYP,"  The Mission reported that artillery blanks were fired within the one-kilometre buffer zone yesterday in celebration of Victory Day in Turkey, without previous notice, in violation of the ceasefire.  "
30-Aug-12,UNMISS,"  The Mission continues to follow and support efforts to resolve tensions in and around LIKUANGOLE, in Jonglei state. The Mission recently provided protection to small numbers of traders whose shops in LIKUANGOLE were reportedly vandalised. There are reports of large numbers of Murle youth joining forces believed loyal to David Yau Yau while local SPLA forces are expected to undertake (forcibly, if need be) civilian disarmament. The governor is cited alleging the GoS’ possible use of white-painted helicopters to reinforce anti-government elements. The SPLA has confirmed that 24 soldiers were killed and 73 others remain missing following last week’s clashes with militia forces. Meanwhile, the Mission has shared belated word of continued small-scale violence (and associated inter-communal tensions) resulting from cattle raiding activity in, inter alia, Unity and Lakes states.  "
30-Aug-12,Sudan,"  According to local media, AU mediators are due to visit KHARTOUM tomorrow in anticipation of next week’s planned resumption of talks with South Sudan. Local media reports yesterday referred to the SPLM-N’s alleged intent to bring increased military and political pressure to bear against the government; mention is made of strengthened relations with Sudanese opposition parties and Darfur rebel groups as well as the planned conduct, jointly with SRF factions, of significant military operations against the SAF (Codename: “The Summer Attack”). Other media reports yesterday refer to the SPLM-N’s desire, given persistent difficulties with regard to humanitarian access in disputed areas of Blue Nile and Southern Kordofan, for aid assistance to be delivered via Ethiopia and South Sudan.  "
30-Aug-12,UNAMID,"  Media sources in EL FASHER took note yesterday of SRSG Gambari’s announced resignation. Also in Northern Darfur, armed assailants in TAWILLA destroyed local communications infrastructure in order to facilitate their robbery yesterday of local INGO premises; valuables and vehicles were stolen. The Mission also received word yesterday of an incident last Friday in which SAF personnel attacked and looted IDPs (also in TAWILLA). In Southern Darfur, local media sources warned yesterday of extensive property damage and at least eight people killed as a result of heavy rains and associated flooding.  "
